actual_price,discounted_price,discount_percentage,rating,rating_count
13.19,4.79,0.64,4.2,24269.0
4.19,2.39,0.43,4.0,43994.0
22.79,2.39,0.9,3.9,7928.0
8.39,3.95,0.53,4.2,94363.0
4.79,1.85,0.61,4.2,16905.0
12.0,1.79,0.85,3.9,24871.0
5.99,2.12,0.65,4.1,15188.0
3.59,2.75,0.23,4.3,30411.0
11.99,5.99,0.5,4.2,179691.0
3.59,2.39,0.33,4.0,43994.0
4.07,1.85,0.55,4.3,13391.0
9.59,3.59,0.63,4.2,94363.0
8.4,2.63,0.69,4.4,426973.0
10.79,4.2,0.61,4.2,2262.0
4.79,1.91,0.6,4.1,4768.0
4.79,4.19,0.13,4.4,18757.0
299.99,167.99,0.44,4.2,32840.0
4.79,2.99,0.38,4.0,43994.0
5.99,2.39,0.6,4.1,13045.0
263.88,161.88,0.39,4.3,11976.0
21.59,11.64,0.46,4.5,815.0
5.99,3.35,0.44,3.7,10962.0
274.8,161.88,0.41,4.3,16299.0
2.39,0.71,0.7,4.0,9378.0
239.88,137.99,0.42,4.3,4703.0
8.39,2.39,0.72,4.2,12153.0
239.99,179.99,0.25,4.2,34899.0
4.79,3.59,0.25,4.0,2766.0
23.99,11.64,0.51,4.4,184.0
11.99,3.59,0.7,4.3,20850.0
9.0,2.39,0.73,4.5,74976.0
5.99,2.15,0.64,4.0,1934.0
13.19,4.67,0.65,4.3,974.0
7.19,7.19,0.0,4.3,355.0
11.99,2.39,0.8,3.9,1075.0
8.0,1.19,0.85,3.9,24871.0
22.8,10.79,0.53,4.4,13552.0
11.99,2.39,0.8,4.0,576.0
551.99,395.99,0.28,4.2,7298.0
23.99,11.64,0.51,4.2,462.0
8.34,2.51,0.7,4.5,107687.0
419.99,239.99,0.43,4.3,27151.0
13.19,4.79,0.64,4.2,24269.0
19.19,11.99,0.38,4.3,12093.0
2.39,0.71,0.7,4.0,9378.0
11.99,4.0,0.67,3.3,9792.0
14.5,6.08,0.58,4.1,8131.0
5.7,3.71,0.35,4.4,426973.0
11.99,4.79,0.6,3.6,493.0
4.74,2.39,0.5,4.2,92595.0
26.39,14.39,0.45,4.4,24780.0
6.0,2.15,0.64,4.2,92595.0
25.2,9.59,0.62,4.3,8188.0
155.99,83.99,0.46,4.2,4003.0
4.19,2.39,0.43,4.1,314.0
5.99,2.76,0.54,3.7,2960.0
16.79,7.79,0.54,4.2,179691.0
263.99,191.99,0.27,4.2,34899.0
17.99,4.18,0.77,4.2,656.0
4.19,1.85,0.56,4.3,7064.0
9.59,2.15,0.78,3.7,2201.0
574.8,395.88,0.31,4.3,7109.0
11.99,1.67,0.86,4.0,1313.0
10.14,3.95,0.61,4.2,29746.0
299.99,167.99,0.44,4.2,45238.0
